County,District_ID,Population Density,Urban-Rural Classification,Diversity Index,Partisan Voting Index,PerCapitaIncome_2022,MedianListPrice_2024,HS_Grad_or_Higher_2023_5yr_Pct,Value (Percentage of People with a Bachelor's),HighPoint_Elevation_ft,WaterArea_sqmi,AgLand_Acres_2022,Air Pollution (Micrograms per cm^3),Unemployment Rate (%) ,Economic Diversity Index,Mean Travel Time,Mobility (%),Obesity %,log_population
Alamance,3,0.355,0.3,2.328,2.258,0.502,0.993,0.638,0.54,0.169,0.12,0.204,0.188,0.44,0.377,0.38,0.744,0.185,12.096062447946997
Alexander,5,0.256,0.2,1.1,3.935,0.468,1.035,0.473,0.203,0.21,0.09,0.194,0.2,0.37,0.788,0.397,0.462,0.143,10.504327539810888
Alleghany,8,0.165,0.5,1.096,3.677,0.314,1.315,0.327,0.428,0.23,0.065,0.201,0.142,0.405,0.791,0.409,0.61,0.172,9.336267928573973
Anson,5,0.147,0.1,2.276,2.0,0.66,0.32,0.285,0.005,0.151,0.102,0.211,0.192,0.662,0.84,0.62,0.692,0.245,9.994104920119742
Ashe,8,0.185,0.5,0.716,3.484,0.308,1.515,0.582,0.418,0.24,0.086,0.21,0.116,0.217,0.628,0.487,0.536,0.142,10.205922760324748
Avery,8,0.196,0.5,0.928,3.742,0.376,1.418,0.519,0.405,0.247,0.0,0.168,0.105,0.296,0.755,0.239,0.563,0.126,9.773435813175855
Beaufort,6,0.17,0.4,2.028,2.968,0.898,1.248,0.616,0.37,0.057,0.189,0.227,0.116,0.37,0.585,0.426,0.494,0.198,10.702817410686135
Bertie,6,0.101,0.5,2.084,1.355,0.558,0.39,0.26,0.286,0.074,0.158,0.231,0.126,0.854,0.896,0.487,0.372,0.25,9.736369829484445
Bladen,2,0.132,0.5,2.408,2.581,0.496,0.414,0.644,0.37,0.096,0.125,0.228,0.132,0.904,0.903,0.415,0.701,0.2,10.291603022309179
Brunswick,7,0.29,0.2,1.292,2.839,1.104,1.245,0.9,0.644,0.062,0.201,0.19,0.132,0.602,0.522,0.403,0.653,0.105,11.982704068899666
Buncombe,1,0.354,0.2,1.408,1.226,1.226,1.633,0.847,0.813,0.248,0.089,0.208,0.069,0.474,0.2,0.145,0.71,0.031,12.52779738470044
